read_position	mean_Phred_qual	standard_deviation_Phred_qual
0	32.7593	2.9260587300955807
1	32.9138	2.899656938507707
2	33.0316	2.9002831938037583
3	36.3003	3.0407966973236062
4	36.1877	3.4471229997925206
5	36.1608	3.482205613629797
6	36.0803	3.599687164847723
7	36.1455	3.55232200809044
8	37.8791	4.110276466037978
9	37.8811	4.099883375703812
10	37.8593	4.218635229351139
11	37.8831	4.158721424475225
12	37.8633	4.129106206166706
13	39.373	4.644375956229303
14	39.3805	4.678515640762963
15	39.3098	4.837247549628066
16	39.0541	5.198911045363739
17	39.1966	4.910230083809857
18	39.3449	4.732524027235938
19	39.3372	4.825476627491453
20	39.2636	4.882386589556753
21	39.2672	4.894159727669427
22	39.2013	4.990938715004257
23	39.1826	5.018064899693122
24	39.1078	5.139554519806932
25	39.1253	5.143077389511694
26	39.0044	5.3771062819324
27	38.9673	5.469115269601084
28	38.9705	5.461997170569621
29	38.9499	5.425728876693451
30	38.8752	5.543906425062069
31	38.8552	5.556520534655002
32	38.7243	5.702520616722174
33	38.6163	5.842900671655013
34	38.6254	5.823698686113317
35	38.5402	5.945848910957009
36	38.4639	6.009068786490032
37	38.266	6.255889834049153
38	38.2421	6.222054241639195
39	38.2051	6.220876459180826
40	38.141	6.275098141516869
41	38.0817	6.224299101098026
42	37.9419	6.23347495471063
43	37.9707	6.23629141742603
44	37.9195	6.246544779489574
45	37.8003	6.390892289847086
46	37.7756	6.317628976411131
47	37.7015	6.402194667429238
48	37.6274	6.487617294339682
49	37.4773	6.539828869791684
50	35.5191	6.5056335215527215
51	36.2396	6.333877457005816
52	36.9989	6.350222934915772
53	37.4171	6.3671957491640345
54	37.4371	6.4873763722495585
55	37.3901	6.474697997699511
56	37.3212	6.45516827664096
57	37.2249	6.5485882746463515
58	37.053	6.60563051006107
59	36.9932	6.53536723241229
60	36.8429	6.544501710616676
61	36.6662	6.600858633046839
62	36.5277	6.658878792760595
63	36.3414	6.667795137015151
64	36.1931	6.70339510551153
65	35.9965	6.770130812408506
66	35.7457	6.867688695973633
67	35.5906	6.869447617607696
68	35.4382	6.873303790063384
69	35.2594	6.81665301418726
70	35.1257	6.796772699002855
71	35.008	6.719810383125661
72	34.8983	6.699182413884227
73	34.755	6.687499328203972
74	34.492	6.76299562405446
75	34.3231	6.7102167692936066
76	34.1546	6.730901079568124
77	34.1085	6.679624951218925
78	33.8268	6.776635893967149
79	33.6447	6.7863589189443125
80	33.5102	6.842614858211214
81	33.4966	6.7418642609721005
82	33.4892	6.647413193884013
83	33.4161	6.6606303898146155
84	33.2942	6.745842942116393
85	33.1323	6.828898893379875
86	33.1139	6.869661273643414
87	32.9633	7.045020677161191
88	32.8939	7.092649248153908
89	32.7587	7.238460737020451
90	32.7063	7.34101010440189
91	32.1215	7.555729392630742
